Ruosh Grey Boots;Spruce up your cool and trendy look wearing these grey coloured boots from the house of RUOSH. The suede leather upper and leather lining make these boots for men long lasting. The TPR (thermoplastic rubber) sole ensures total comfort throughout the day.;http://www.jabong.com/ruosh-Grey-Boots-625805.html;4990.0;4990.0
Nike Max Lebron Xi Low Blue Running Shoes;Nike offers these ‘Max Lebron XI Low’ running shoes that will help you have a focused and productive workout session.  Lightweight and comfortable to wear, these blue coloured lace-ups will become your favourite in no time.  Features:     ;http://www.jabong.com/Nike-Max-Lebron-Xi-Low-Blue-Running-Shoes-634178.html;9995.0;9995.0
Cat Charted Mid Brown Boots;A chequered shirt, a pair of denims and these brown coloured ‘Charted Mid’ boots from Cat® are all you need to showcase a smart and defined look the next time you step out. High on comfort and durability because of their nubuck upper and leather lining, these men’s boots also offer slip-resistance, courtesy the TPR (thermoplastic rubber) sole.;http://www.jabong.com/cat-Charted-Mid-Brown-Boots-603947.html;7699.0;7699.0
Cat Charted Mid Coffee Boots;For a man who likes to combine style and comfort, these coffee coloured boots for men from the house of Cat Footwear are a must-have. Featuring premium quality nubuck leather upper and leather lining, these boots are very durable and absorb perspiration to provide comfort. The light, soft and flexible TPR (thermoplastic rubber) sole will keep you comfortable while walking. Wear them with blue coloured denims to create a perfect rough and tough look.   ;http://www.jabong.com/cat-Charted-Mid-Coffee-Boots-603946.html;7699.0;7699.0
Style Centrum Navy Blue Moccasins;Chill out this season wearing these moccasins by Style Centrum. Offering you a great fit and comfort, these moccasins can be comfortably worn all day long. Wear it to office and make a distinguished style statement. ;http://www.jabong.com/style-centrum-Navy-Blue-Moccasins-602102.html;1999.0;1999.0
Bacca Bucci Black Dress Shoes;Spruce up your look with this pair of black coloured dress shoes by Bacca Bucci. This pair of dress shoes provides optimal flexibility, owing to the Thermoplastic Rubber sole, for free movement. Pair these dress shoes with a shirt and trousers to look absolutely handsome. ;http://www.jabong.com/bacca-bucci-Black-Dress-Shoes-617125.html;2199.0;2199.0
Adidas Yago Navy Blue Running Shoes;A perfect pick for running enthusiasts, this pair of ‘Yago’ running shoes from adidas will make fitness and practice sessions more fun. Designed for urban men, these navy blue coloured lace-ups will help you deliver your best on the field. Other specifications: ;http://www.jabong.com/Adidas-Yago-Navy-Blue-Running-Shoes-635341.html;2899.0;2899.0
Adidas Yago White Running Shoes;adidas presents this pair of ‘Yago’ running shoes for men to make the fitness and practice sessions more fun. This pair of white coloured lace-ups is all that you need to deliver high performance by staying at ease. The main features of this pair are: ;http://www.jabong.com/Adidas-Yago-White-Running-Shoes-620320.html;2899.0;2899.0
Adidas Yago Black Running Shoes;adidas presents this pair of ‘Yago’ running shoes for men to make the fitness and practice sessions more fun. This pair of black coloured lace-ups is all that you need to deliver high performance by staying at ease. The main features of this pair are: ;http://www.jabong.com/Adidas-Yago-Black-Running-Shoes-620321.html;2899.0;2899.0
Adidas Yago Silver Running Shoes;A perfect pick for running enthusiasts, this pair of ‘Yago’ running shoes from adidas will make fitness and practice sessions more fun. Designed for urban men, these lace-ups will help you deliver your best on the field. Other specifications: ;http://www.jabong.com/Adidas-Yago-Silver-Running-Shoes-635342.html;2899.0;2899.0
Adidas Kerio Syn Navy Blue Floaters;Capture a smart look when you wear this pair of navy blue coloured floaters by adidas. With a rubber sole and closing, these floaters guarantee to keep you comfortable the entire day. Wear it to office and make a distinguished style statement. ;http://www.jabong.com/Adidas-Kerio-Syn-Navy-Blue-Floaters-635367.html;3399.0;3399.0
Lee Cooper Black Dress Shoes;Spruce up your look when you wear this pair of black coloured dress shoes from the house of Lee Cooper. Experience endless comfort adorning this pair of dress shoes, which is crafted using comfortable TPR (thermoplastic rubber) sole. Featuring genuine leather upper and lining, these trendy dress shoes will stylishly complement your crisp look when paired with trousers and a check shirt. ;http://www.jabong.com/Lee_Cooper-Black-Dress-Shoes-643124.html;2599.0;2599.0
Nike Liteforce Ii Mid Black Sneakers;Spruce up your look as you wear this pair of black coloured sneakers by Nike. Beautifully designed synthetic upper makes these sneakers appealing and a versatile pick. Team these sneakers with your oufit and leave a lasting impression on people. ;http://www.jabong.com/Nike-Liteforce-Ii-Mid-Black-Sneakers-607218.html;2995.0;2995.0
Nike Liteforce II Mid White Sneakers;Step out in style as you adorn this pair of black coloured sneakers by Nike. Detailed with a stylish upper, these sneakers are sure to add that extra touch of glamour to your feet. Club these sneakers with your outfit to complete your look for the day. ;http://www.jabong.com/Nike-Liteforce-II-Mid-White-Sneakers-393050.html;2995.0;2995.0
Nike Liteforce II Mid Black Sneakers;Flaunt a minimalistic and stylish statement as you adorn this pair of sneakers by Nike. Crafted using rubber, the sole  of these sneakers will keep your feet at comfort all day long. Club these sneakers with your outfit to add a refined finish to your overall look for the day. ;http://www.jabong.com/Nike-Liteforce-II-Mid-Black-Sneakers-469772.html;2995.0;2696.0
Nike Liteforce Ii Mid Light Grey Sneakers;Add a funky element to your attire as you wear this pair of sneakers by Nike. Crafted using rubber, the sole will keep your feet at comfort all day long. Club these sneakers with your outfit to complete your look for the day. ;http://www.jabong.com/Nike-Liteforce-Ii-Mid-Light-Grey-Sneakers-577780.html;2995.0;2995.0
